Pos,No,Name,Team,Laps,Time,Points
1,1,"
 Max",Red Bull Racing Honda RBPT,57,1:31:44.742,26
2,11,"
 Sergio",Red Bull Racing Honda RBPT,57,,18
3,55,"
 Carlos",Ferrari,57,,15
4,16,"
 Charles",Ferrari,57,,12
5,63,"
 George",Mercedes,57,,10
6,4,"
 Lando",McLaren Mercedes,57,,8
7,44,"
 Lewis",Mercedes,57,,6
8,81,"
 Oscar",McLaren Mercedes,57,,4
9,14,"
 Fernando",Aston Martin Aramco Mercedes,57,,2
10,18,"
 Lance",Aston Martin Aramco Mercedes,57,,1
11,24,"
 Zhou",Kick Sauber Ferrari,56,,0
12,20,"
 Kevin",Haas Ferrari,56,,0
13,3,"
 Daniel",RB Honda RBPT,56,,0
14,22,"
 Yuki",RB Honda RBPT,56,,0
15,23,"
 Alexander",Williams Mercedes,56,,0
16,27,"
 Nico",Haas Ferrari,56,,0
17,31,"
 Esteban",Alpine Renault,56,,0
18,10,"
 Pierre",Alpine Renault,56,,0
19,77,"
 Valtteri",Kick Sauber Ferrari,56,,0
20,2,"
 Logan",Williams Mercedes,55,,0
